airport name,airport code
CHERRY CAPITAL ARPT,TVC
ST. PAUL DOWNTOWN ARPT,STP
OSCEOLA MUNICIPAL ARPT,7M4
YELLOWSTONE REGIONAL,COD
DURANGO-LA PLATA CO,DRO
SELAWICK ARPT,WLK
WALLOPS FLIGHT FACILITY,WFF
OHIO STATE UNIVERSITY,OSU
SHEBOYGAN COUNTY MEMORIAL ARPT,SBM
SITKA (SPB),SIT
THIEF RIVER FALLS REGIONAL,TVF
YAKUTAT ARPT,YAK
MANCHESTER ENGLAND,MAN
MARSHALL ISLANDS INTL ARPT,MAJ
SYRACUSE HANCOCK INTL,SYR
MERCEDITA ARPT,AIM
ORMOND BEACH MUNICIPAL ARPT,KOM
MONTROSE REGIONAL ARPT,MTJ
HELENA REGIONAL,HLN
MOBILE REGIONAL,MOB
PALM SPRINGS INTL,PSP
DE KALB TAYLOR MUNICIPAL ARPT,KDK
EVANSTON-UINTA COUNTY BURNS FIELD,EVW
JESSE VIERTEL MEMORIAL ARPT,KVE
MCCLELLAN-PALOMAR,CLD
EL SALVADOR INTL,SAL
MC CLELLAN AIRFIELD,MCC
WAYNE COUNTY,DTW
CHINO AIRPORT,CNO
MILANO MALPENSA,MXP
MIDDLE GEORGIA REGIONAL,MCN
COMPTON/WOODLEY ARPT,CPM
YOUNGSTOWN-WARREN RGNL ARPT,YNG
RANGE REGIONAL ARPT,HIB
EL MONTE ARPT,EMT
ALLENTOWN QUEEN CITY MUNICIPAL,KXL
SUGAR LAND REGIONAL ARPT,SGR
NORTHEASTERN REGIONAL,EDE
LINDEN AIRPORT,LDJ
MADRID-BARAJAS,MAD
ELMIRA/CORNING MUNICIPAL,ELM
MANHATTAN REGIONAL,MHK
SCOTT CITY MUNICIPAL ARPT,KSC
CHILLICOTHE MUNICIPAL ARPT,CHT
PLYMOUTH MUNICIPAL ARPT (MA),PYM
BOISE AIR TERMINAL/GOWEN FIELD,BOI
ANOKA COUNTY-BLAINE,ANE
HAGERSTOWN REGIONAL,HGR
USAF ACADEMY BULLSEYE AUX AIRSTRIP,AFF
GLASGOW INTL/WOKAL FIELD,GGW
MONMOUTH EXECUTIVE ARPT,BLM
QUEBEC/JEAN LESAGE INTL,YQB
ELK GROVE ARPT,E27
LAKE CHARLES REGIONAL,LCH
WINDHAM ARPT,KIJ
HUNTINGBURG ARPT,HNB
DUTCHESS COUNTY ARPT,POU
FERANDINA BEACH MUNICIPAL ARPT,KFH
HOBBY FIELD ARPT,HOU
CAPE MAY COUNTY ARPT,WWD
SALINA MUNICIPAL,SLN
BETHEL ARPT,BET
GLADEWATER MUNICIPAL ARPT,GDJ
CALI/VALLE,CLO
CANCUN INTL,CUN
OCONEE COUNTY REGIONAL ARPT,CEU
KETCHIKAN INTL ARPT,KTN
TWEED-NEW HAVEN ARPT,HVN
GALLATIN FIELD ARPT,BZN
PINAL AIRPARK,MZJ
MARTHAS VINEYARD,MVY
BROOKINGS MUNICIPAL ARPT,BKX
EAST HAMPTON ARPT,JPX
NATRONA COUNTY INTL,CPR
FINDLAY ARPT,FDY
ROGERS MUNICIPAL ARPT-CARTER FIELD,ROG
FULLERTON MUNICIPAL ARPT,FUL
ST CLAIR COUNTY INTL ARPT,PHN
KINGS LAND O' LAKES ARPT,KLN
RAPID CITY REGIONAL,RAP
AURORA MUNICIPAL ARPT,AUZ
RICKENBACKER INTL,LCK
SANTIAGO CIBAO INTL,STI
NORTH CENTRAL WEST VIRGINIA ARPT,CKB
KONGIGANAK ARPT,KKH
WESTERLY STATE ARPT,WST
CAPE GIRARDEAU MUNICIPAL,CGI
KALAELOA ARPT JOHN RODGERS FIELD,JRF
JUAN SANTAMARIA INTL,SJO
ERNEST A LOVE FIELD,PRC
SANTA FE DE BOGOTA,BOG
KENDALL-TAMIAMI EXECUTIVE ARPT,TMB
GRAND RAPIDS/ITASCA COUNTY ARPT,GPZ
ADDINGTON FIELD ARPT,EKX
WILLMAR MUNICIPAL,ILL
MC ALLEN MILLER INTL,MFE
PALESTINE MUNICIPAL ARPT,GZA
WHEELER-SACK ARMY AIRFIELD,KGT
CLEVELAND MUNICIPAL ARPT,CLE
DEMOPOLIS MUNICIPAL ARPT,KDY
NEW CENTURY AIRCENTER ARPT,JCI
FORT DODGE REGIONAL,FOD
ARNOLD PALMER REGIONAL,LBE
BRANSON ARPT,BKG
LAREDO INTL,LRD
FRIDAY HARBOR ARPT,FRD
WENDOVER ARPT,ENV
ROBT L BRADSHAW INTL,SKB
ALTOONA-BLAIR COUNTY,AOO
REDDING MUNICIPAL,RDD
BILLINGS LOGAN INTL,BIL
PHOENIX-MESA GATEWAY,AZA
COLD BAY ARPT,CDB
RAFAEL HERNANDEZ ARPT,BQN
DELTA COUNTY ARPT,ESC
BOWERMAN ARPT,HQM
KEY FLD,MEI
BELLEVILLE MUNICIPAL,KRP
MONROE COUNTY,BMG
COLUMBIA REGIONAL,COU
FORT WORTH SPINKS ARPT,KFW
PUNTA GORDA ARPT,PGD
DULUTH INTL ARPT,DLH
WILLIAM B HEILIG FIELD,BFF
PHOENIX GOODYEAR ARPT,GYR
JAMES CLEMENTS MUNICIPAL ARPT,3CM
ALEXANDRIA INTL,AEX
GARY CHICAGO INTL,KGY
CAPE COD COAST GUARD AIR STATION,FMH
GREENVILLE DOWNTOWN ARPT,GMU
RIO VISTA MUNICIPAL ARPT,O88
ELIZABETHTON MUNICIPAL ARPT,0A9
PRYOR FIELD REGIONAL ARPT,DCU
DANIEL ODUBER QUIROS INTL,LIR
CHARLES B WHEELER DOWNTOWN ARPT,MKC
KUNSAN,KUV
TEHACHAPI MUNICIPAL ARPT,TSP
BARKLEY REGIONAL ARPT,PAH
JACQUELINE COCHRAN REGIONAL ARPT,TRM
BARROW COUNTY ARPT,WDR
HAYWARD EXECUTIVE ARPT,HWD
TUPELO MUNICIPAL,TUP
MIDDLETON MUNI MOREY FIELD,C29
FIUMICINO ARPT,FCO
WACO REGIONAL ARPT,ACT
LIEGE ARPT,LGG
CHESTERFIELD COUNTY ARPT,KFC
CASTLE ARPT,MER
SKAGIT REGIONAL,MVW
SIMON BOLIVAR INTL,CCS
MERRILL FIELD ARPT,MRI
GRAND CANYON NATIONAL,GCN
LA ROMANA INTL,LRM
REID-HILLVIEW ARPT OF SANTA CLARA CNTY,RHV
BERZ-MACOMB ARPT,MQB
FLYING CLOUD ARPT,FCM
SOUTHWEST MINNESOTA REGIONAL ARPT,MML
BEMIDJI REGIONAL ARPT,BJI
SPENCER MUNICIPAL AIRPORT,SPW
GREATER PORTSMOUTH REGIONAL ARPT,PMH
TOMPKINS COUNTY ARPT,ITH
GREGG COUNTY ARPT,GGG
